Empresa;Div.Liq_menos_Luc.Liq;Dividendos;Luc.Operacional;PVP_menor5;Liq_sobre_Ebita_menor2;Ano_mercado_maior10;PL_menor10;Roe_maior15;Roa_maior10Roic_maior12;Tag_along100;Free_float50;Soma_total;Formula_Graham;Cotacao
WDC NETWORKINGS;1;0;1;1;1;1;;0;;1;0;6;6.86;4.0
CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;0;1;1;1;0;0;;0;;0;1;6;46.39;30.0
COSERN;0;0;1;1;0;1;;0;;0;0;6;27.85;28.25
BANCO AMAZONIA;1;1;1;1;1;1;;0;;0;0;8;221.02;89.74
EUCATEX;0;0;1;1;1;1;;0;;0;1;6;38.14;13.72
ENERGISA;0;0;1;1;0;0;;0;;1;1;5;10.1;14.88
MINUPAR;0;0;1;1;1;1;;0;;0;0;5;0.0;14.41
REDE ENERGIA;0;1;1;1;0;1;;0;;0;0;6;5.01;5.76
WHIRLPOOL;1;1;1;1;1;1;;0;;0;1;8;2.87;4.38
ALPARGATAS;0;0;1;1;1;1;;0;;0;0;5;0.0;8.25
EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S.A.;0;0;1;0;1;1;;0;;0;0;6;5.6;10.05
HAGA S/A;1;0;1;1;1;1;;0;;0;1;8;0.0;2.62
CONSÓRCIO ALFA DE ADMINISTRAÇÃO;1;0;1;1;1;1;;0;;0;0;6;20.95;9.27
NEXPE PARTICIPAÇÕES S.A.;0;0;0;1;1;0;;0;;1;0;5;0.0;5.47
EMBPAR;1;0;1;1;1;1;;1;;0;0;9;32.44;15.9
ELECTRO ACO ALTONA;0;0;1;1;0;1;;0;;0;1;6;17.56;7.75
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S/A;1;1;1;1;1;0;;0;;0;0;5;1.29;2.11
COTEMINAS;0;0;1;1;1;1;;0;;0;0;5;0.0;9.43
AFLUENTE;0;1;1;1;0;0;;0;;0;0;3;6.04;7.19
GRAZZIOTIN;1;0;1;1;1;1;;0;;1;1;8;67.52;24.9
BAHEMA;0;0;1;1;1;1;;0;;0;0;5;0.0;9.55
TELEBRAS;1;0;1;1;1;1;;0;;0;0;6;0.0;16.5
COMGÁS;0;1;1;0;1;1;;1;;0;0;6;7.49;120.0
BAUMER;1;0;1;1;1;1;;0;;0;0;6;17.72;10.15
CELESC;1;0;1;1;1;1;;0;;1;1;9;172.2;59.99
RIO PARANAPANEMA;0;1;1;1;1;0;;0;;0;0;6;42.02;23.69
CEDRO TÊXTIL;0;0;1;1;1;1;;0;;0;1;7;24.85;16.0
BANCO MERCANTIL DO BRASIL;1;1;0;1;1;1;;0;;0;0;7;25.29;15.41
AMPLA ENERGIA E SERVICOS;0;0;1;1;0;1;;0;;0;0;4;0.0;15.9
BIOMM;0;0;0;1;1;0;;0;;0;1;4;0.0;4.5
SONDOTECNICA ENGENHARIA SOLOS S.A.;1;0;1;1;1;1;;0;;0;0;8;58.29;34.43
CONSTRUTORA ADOLPHO LINDENBERG;0;1;1;1;1;1;;1;;0;0;8;29.99;14.2
BANCO ALFA DE INVESTIMENTO;1;0;0;1;1;1;;0;;0;0;5;22.29;11.36
BICICLETAS MONARK;1;1;1;1;1;1;;0;;0;0;8;760.79;297.7
PETTENATI;0;0;1;1;1;1;;0;;0;1;6;11.47;11.21
ALPHAVILLE;0;0;0;1;1;1;;0;;1;0;5;0.0;4.46
ALFA HOLDINGS;1;0;1;1;1;1;;0;;0;0;6;14.87;7.55
BANCO NORDESTE DO BRASIL;1;1;0;1;1;1;;0;;0;0;7;257.7;91.96
ENERGISA MATO GROSSO;0;1;1;1;0;1;;0;;0;0;6;38.59;62.49
BANCO BANESE;1;1;1;1;1;1;;0;;0;0;7;53.88;25.86
DOHLER;0;0;1;1;1;1;;0;;0;0;5;0.0;7.0
PLASCAR PARTICIPAÇÕES;0;0;1;1;0;1;;0;;0;0;5;0.0;7.7
MUNDIAL S/A;1;0;1;1;0;1;;0;;0;1;7;753.55;54.0
BANCO DE BRASILIA S.A.;1;0;0;1;1;1;;0;;0;0;4;10.9;14.0
GENERAL SHOPPING;0;0;1;1;1;0;;0;;1;1;6;0.0;14.5
HABITASUL;0;1;1;1;1;1;;0;;0;1;8;136.06;56.5
JOSAPAR JOAQUIM OLIVEIRA S/A PARTICIPAÇÕES;0;1;1;1;0;1;;0;;0;0;4;40.45;21.0
FINANCEIRA ALFA S.A.;1;0;0;1;1;1;;0;;0;0;4;6.44;6.1
CIA PARTICIPAÇÕES ALIANÇA DA BAHIA;1;0;1;1;1;0;;0;;0;0;4;46.47;33.9
FERBASA;1;1;1;1;1;1;;0;;0;0;9;79.63;57.01
CEEE-D;0;0;1;1;0;0;;0;;0;0;4;0.0;36.97
PANATLANTICA;1;0;1;1;1;1;;0;;0;0;5;28.47;25.15
METALFRIO SOLUTIONS;0;0;1;1;1;0;;0;;1;0;5;0.0;45.05
SÃO PAULO TURISMO S.A.;1;0;1;0;1;1;;0;;0;0;7;14.05;16.59
MRS LOGÍSTICA S.A.;0;0;1;1;1;1;;0;;0;0;6;34.95;26.5
ESTRELA;0;0;1;1;0;1;;0;;0;0;4;0.0;12.59
WLM INDÚSTRIA E COMÉRCIO;1;0;1;1;1;1;;0;;0;0;8;35.43;27.34
GRUPO CASAS BAHIA S.A;0;0;1;1;0;1;;0;;1;1;6;0.0;0.75
MONTEIRO ARANHA S.A.;1;0;1;1;1;1;;1;;0;0;9;439.48;388.0
DTCOM - DIRECT TO COMPANY S.A.;1;0;1;1;1;0;;0;;0;0;6;0.0;5.06
BANCO MERCANTIL DE INVESTIMENTOS;1;0;0;1;1;1;;0;;0;0;5;34.93;22.4
