Empresa;Cotação;Divida_Liquida;Custos;Lucro_Liquido;Lucro_Bruto;Margem_Bruta;Margem_Liquida;Divida_Bruta;Divida_Liquida.1;Roic;ROE;Receita_Liquida;EBITA;EBIT;Impostos;Margem_EBITA;Dy;P/VP;P/L;VPA;LPA
GAFISA;4.56;1.63;-1.16;-178070000.0;97980000.0;7.81;-14.2;1.96;;-7.24;-3.36;1.25;-214660000.0;-185370000.0;-55780000.0;-14.78;0.0;0.16;-1.62;28.08;-2.81
DIRECIONAL ENGENHARIA;17.48;358720000.0;-1.48;359360000.0;792350000.0;34.89;15.82;1.47;;13.77;6.54;2270000000.0;451480000.0;506580000.0;-48370000.0;22.31;4.0;2.08;10.0;8.39;1.75
ENAUTA PARTICIPAÇÕES;16.39;119770000.0;-900200000.0;360540000.0;789550000.0;46.73;21.34;1.82;;7.13;2.21;1.69;547350000.0;818670000.0;-127130000.0;48.45;0.92;1.07;12.08;15.32;1.36
CAIXA SEGURIDADE;11.25;-826210000.0;0.0;3380000000.0;0.0;0.0;0.0;0.0;;27.16;7.3;0.0;3780000000.0;0.0;-562390000.0;0.0;7.61;2.85;9.99;3.95;1.13
PLANO E PLANO;8.35;228140000.0;-1.14;202220000.0;568610000.0;33.2;11.81;553100000.0;;18.32;11.46;1.71;236770000.0;243460000.0;-40000000.0;14.22;1.92;3.27;8.44;2.55;0.99
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;20.6;596670000.0;-2270000000.0;406340000.0;1.37;37.57;11.15;3270000000.0;;10.09;2.36;3640000000.0;846020000.0;1.71;-55160000.0;46.9;0.0;2.64;30.19;7.79;0.68
INTERNATIONAL MEAL COMPANY;1.79;353070000.0;-1.57;95980000.0;757700000.0;32.49;4.12;520990000.0;;13.74;2.22;2330000000.0;258570000.0;381210000.0;-38800000.0;16.35;0.0;0.48;5.34;3.76;0.34
AZEVEDO E TRAVASSOS S.A.;2.62;42220000.0;-489140000.0;-46320000.0;45040000.0;8.43;-8.67;51200000.0;;-72.25;-11.09;534190000.00000006;-66010000.00000001;-28600000.0;57120000.0;-5.35;0.0;2.05;-5.27;1.28;-0.5
COPASA;16.91;3220000000.0;-4080000000.0;1.08;2660000000.0;39.51;16.06;3990000000.0;;10.92;3.67;6740000000.0;1.49;2260000000.0;-229700000.0;33.45;9.87;0.85;5.94;19.94;2.85
GRENDENE;6.54;-662980000.0;-1.42;557210000.0;1.04;42.35;22.64;89360000.0;;6.99;3.65;2460000000.0;267350000.00000003;322070000.0;-25150000.0;13.09;21.92;1.75;10.59;3.74;0.62
CAMIL;7.7;3300000000.0;-8390000000.000001;452090000.0;2160000000.0;20.5;4.28;4210000000.0;;10.49;3.83;10550000000.0;789980000.0;1.02;-33500000.0;9.69;3.73;0.9;5.96;8.58;1.29
PAGUE MENOS;3.12;1.38;-7230000000.0;86120000.0;3380000000.0;31.85;0.81;1.69;;12.26;0.95;10600000000.0;587370000.0;1.07;104520000.0;10.1;5.96;0.08;1.96;41.44;1.59
SER EDUCACIONAL;6.05;518380000.0;-882650000.0;-161710000.0;879860000.0;49.92;-9.17;728280000.0;;3.13;-3.2;1.76;69100000.0;300110000.0;-7400000.0;17.03;0.0;0.63;-4.82;9.64;-1.26
